,count,mean,std,min,25%,50%,75%,max,missing_pct,skew,kurtosis
LightWeightVehicleSales,147621.0,16.156404684970298,0.6898085892862856,14.61,15.589,16.293,16.56,17.892,0.0,0.04043852930935232,0.6090025532891814
CapitalGoodsManufacturersValueOfShipments,147621.0,78551.37271119963,2438.5790518172657,74675.0,76308.0,78015.0,80833.0,83066.0,0.0,0.40490554363556047,-1.0202680842428082
ConsumerPriceInflation,147621.0,2.949525204852069,8.881814280218823e-16,2.94952520485207,2.94952520485207,2.94952520485207,2.94952520485207,2.94952520485207,0.0,1.0000101612878642,-2.0000270969664946
AllCommoditiesProducerPriceIndex,147621.0,268.0619387146815,10.582131658589104,257.36,260.591,262.11,276.046,290.489,0.0,1.0000951205234356,-0.591022319198562
RecessionIndicator,147621.0,0.21677329106292464,0.09814178275657738,0.07,0.13,0.23,0.27,0.43,0.0,0.2738013412678972,-0.5609639456694651
TotalBusinessInventories,147621.0,2685986.739522155,28515.591558192467,2649512.0,2663591.0,2676717.0,2712902.0,2736158.0,0.0,0.7639642148785871,-0.9149682651842381
OriginGasPrice,147621.0,3.3471636758997705,0.6594930801119185,2.336,2.879,3.118,3.786,6.087,0.0,1.3032022334483235,1.5654919295111571
DestinationGasPrice,147621.0,3.3461906300594086,0.6539605824604419,2.336,2.879,3.118,3.786,6.087,0.0,1.312380710265672,1.6210897269000584
OriginWDieselPrice,147621.0,4.086662568333773,0.7779974778957002,3.097,3.497,3.806,4.627,7.567,0.0,1.0839480095853538,0.17882583288370668
DestinationWDieselPrice,147621.0,4.089402855962228,0.7691209531436948,3.097,3.51,3.85,4.627,7.567,0.0,1.06994148904334,0.17316768267951588
OriginMDieselPrice,147621.0,4.042577153657,0.7443243369969201,3.164,3.504,3.791,4.606,7.42,0.0,1.1959093938232472,0.6216689865883893
DestinationMDieselPrice,147621.0,4.045467115112349,0.7351920185063208,3.164,3.505,3.834,4.606,7.42,0.0,1.1795615331378597,0.616972060672849
OriginZip3_TE,147621.0,6.082485666286966,0.7177384804530832,4.856852203916065,5.47949924843764,5.909147580931811,6.6216306781812975,7.950848427292574,0.0,0.5936936533005535,-0.6470773315085707
DestinationZip3_TE,147621.0,6.1104120318059785,0.6688765930567812,4.916821941590087,5.5897213355633575,6.050152571165827,6.683222623452334,8.199226281668412,0.0,0.2898549648642242,-0.8918131785923431
TotalMiles_TE,147621.0,5.905105827508289,0.7098296066618384,4.89530740353052,5.409993386237274,5.685941206889524,6.3047813604373335,7.537138363884923,0.0,0.6792526423734918,-0.5627612564398232
